Country,BR,Full Downtier,Downtier,Total Downtier,Uptier,Full Uptier,Total Uptier,Count
Britain,1.0,0.0,0.007479289038792261,0.007479289038792261,0.11108411580035539,0.8814365951608524,0.9925207109612078,209913
Britain,1.3,0.005329404736041712,0.07915354116880295,0.08448294590484466,0.6280720454051706,0.2874450086899848,0.9155170540951554,294592
Britain,1.7,0.07007621291532433,0.5560447420301005,0.6261209549454247,0.2544808145405587,0.11939823051401645,0.37387904505457514,332752
Britain,2.0,0.5664874562945091,0.2592600530283083,0.8257475093228175,0.1216405709422016,0.05261191973498092,0.17425249067718251,326618
Britain,2.3,0.3154649698613398,0.14801099744436083,0.4634759673057006,0.06401764359637294,0.4725063890979264,0.5365240326942994,268426
Britain,2.7,0.16921216044703016,0.0731875601591182,0.24239972060614837,0.5401884204877467,0.21741185890610493,0.7576002793938517,234794
Britain,3.0,0.07715344034122797,0.5694600965315972,0.6466135368728252,0.22919295094847908,0.1241935121786957,0.3533864631271748,222725
Britain,3.3,0.4268818470962422,0.17180889554549586,0.598690742641738,0.09309863184288912,0.3082106255153728,0.40130925735826195,297115
Britain,3.7,0.22210184653405038,0.12035103291042308,0.34245287944447345,0.3984319253728746,0.25911519518265197,0.6575471205555266,229836
Britain,4.0,0.10058069982146299,0.33298062273419804,0.43356132255566104,0.2165497631021079,0.34988891434223107,0.566438677444339,275013
Britain,4.3,0.31624241545193027,0.20566428036150278,0.5219066958134331,0.33230076423926597,0.145792539947301,0.4780933041865669,289569
Britain,4.7,0.25745955713878105,0.4159886561124705,0.6734482132512516,0.1825094892656735,0.14404229748307495,0.32655178674874846,231314
Britain,5.0,0.45800887230356224,0.20094530015421816,0.6589541724577804,0.15859242617519945,0.18245340136702015,0.34104582754221957,210092
Britain,5.3,0.2476128472222222,0.19542393956456455,0.44303678678678676,0.2248263888888889,0.33213682432432434,0.5569632132132132,170496
Britain,5.7,0.22984327143290748,0.26442427085345327,0.4942675422863607,0.39063491625507024,0.11509754145856903,0.5057324577136393,144964
Britain,6.0,0.2967699978322133,0.43841937381933044,0.7351893716515437,0.12917686042550555,0.13563376792295068,0.26481062834845626,129164
Britain,6.3,0.5921015485314568,0.17445811854996393,0.7665596670814208,0.18317841048107988,0.05026192243749935,0.23344033291857924,95639
Britain,6.7,0.3898637754982826,0.4093511227422483,0.7992148982405309,0.1123209570764306,0.08846414468303854,0.20078510175946912,42797
Britain,7.0,0.5385821446138711,0.1477803738317757,0.6863625184456468,0.11639203148057059,0.19724545007378258,0.31363748155435317,32528
Britain,7.3,0.20653061224489797,0.16266380236305047,0.36919441460794844,0.2756605800214823,0.35514500537056926,0.6308055853920516,23275
Britain,7.7,0.13492516037063434,0.2286528866714184,0.36357804704205277,0.2945830363506771,0.3418389166072701,0.6364219529579472,28060
Britain,8.0,0.21515039737098018,0.2771872170618021,0.4923376144327823,0.3216525267428993,0.18600985882431845,0.5076623855672178,29821
Britain,8.3,0.2788328554562321,0.3235621521335807,0.6023950075898128,0.1871141845167819,0.2104908078934053,0.3976049924101872,29645
Britain,8.7,0.35554896582400475,0.2056119801319594,0.5611609459559641,0.2312995774334643,0.20753947661057157,0.4388390540440359,26978
Britain,9.0,0.247071399937642,0.2779386218876665,0.5250100218253084,0.24938755512003918,0.22560242305465236,0.4749899781746916,22451
Britain,9.3,0.28933092224231466,0.25960958872351275,0.5489405109658274,0.234849538647007,0.2162099503871656,0.4510594890341726,21567
Britain,9.7,0.29994107248084856,0.2713344404564204,0.571275512937269,0.24979911073016553,0.1789253763325655,0.42872448706273103,18667
Britain,10.0,0.34439382606921876,0.317059903447338,0.6614537295165568,0.22710274019174542,0.11144353029169783,0.33854627048344327,14707
Britain,10.3,0.3508653122648608,0.2513167795334838,0.6021820917983446,0.12332580887885629,0.2744920993227991,0.3978179082016554,13290
Britain,10.7,0.23676189125965832,0.11618345502232934,0.35294534628198765,0.25859502374707594,0.3884596299709364,0.6470546537180124,14107
Britain,11.0,0.09029308065226972,0.2009695901278096,0.29126267078007934,0.3018951079770824,0.40684222124283825,0.7087373292199206,18152
Britain,11.3,0.13226496501214605,0.19868750226605272,0.33095246727819877,0.26775678909394146,0.40129074362785977,0.6690475327218013,27581
Britain,11.7,0.1782345670981591,0.24019384635399726,0.41842841345215637,0.3599817862486177,0.22158980029922593,0.5815715865478437,30746
Britain,12.0,0.27476002678770745,0.41178659126423095,0.6865466180519384,0.25347868144951263,0.059974700498549,0.3134533819480616,26878
Britain,12.3,0.5286335196064383,0.32540478578592924,0.8540383053923676,0.07699288341214118,0.06896881119549124,0.14596169460763242,20937
Britain,12.7,0.6549072382966452,0.15495530135537824,0.8098625396520235,0.13880611362107084,0.0513313467269057,0.19013746034797654,10403
Britain,13.0,0.16692554623589106,0.1495288391840116,0.3164543854199027,0.05529667598633116,0.6282489385937662,0.6835456145800973,9657
