Vehicle,Country,BR,WinRate,Games,Victories,Defeats,BattleType,UnitClass,UnitMoveType
sw_t_54_1951,Sweden,8.0,0.42611790284281037,301543,70165,94496,GRB,exp_tank,tank
it_otomatic,Italy,11.3,0.48237602518315664,154433,34172,36669,GRB,exp_spaa,tank
uk_olifant_mk_2,Britain,9.3,0.51473729175566,119409,33740,31808,GRB,exp_tank,tank
uk_ttd,Britain,10.3,0.497901516725535,85671,23964,24166,GRB,exp_tank,tank
sw_ikv_91_105,Sweden,9.0,0.4721827664349919,324184,87096,97358,GRB,exp_tank,tank
sw_t_55m,Sweden,9.0,0.465271921865827,307302,87178,100192,GRB,exp_tank,tank
uk_vickers_mk7,Britain,10.7,0.5158683626908664,133148,40474,37984,GRB,exp_tank,tank
sw_pvrbv_551,Sweden,8.0,0.4052643909604949,334047,64003,93926,GRB,exp_tank_destroyer,tank
p-47d_16_re_germany,Germany,3.7,0.49988388295401764,36802,8610,8614,ARB,exp_fighter,air
germ_vilkas,Germany,10.7,0.4858516780033895,430457,105784,111945,GRB,exp_tank,wheeled_vehicle
sw_udes_33,Sweden,8.3,0.4218313938181244,148864,24033,32940,GRB,exp_tank_destroyer,tank
it_leopard_2a4,Italy,10.7,0.5000496781956879,156671,45296,45287,GRB,exp_tank,tank
j_8b,China,11.3,0.5572613697713499,180278,73286,58225,ARB,exp_fighter,air
sw_strf_9056,Sweden,10.3,0.48556697475513866,375817,84477,89499,GRB,exp_tank,tank
sw_leopard_2a4_fin,Sweden,10.7,0.4893671984789617,331554,94718,98834,GRB,exp_tank,tank
uk_chieftain_mk_5,Britain,8.7,0.5384615384615384,165529,43911,37638,GRB,exp_tank,tank
sw_lvrbv_701,Sweden,9.7,0.43199036769473004,142221,23321,30664,GRB,exp_spaa,tank
fr_leclerc_azur,France,12.0,0.5847646506510874,151718,61657,43782,GRB,exp_tank,tank
it_ariete_amv_pt1,Italy,12.0,0.5296679368535656,74777,21406,19008,GRB,exp_tank,tank
uk_challenger_2_tes,Britain,11.7,0.5135932608059103,84439,22802,21595,GRB,exp_tank,tank
uk_challenger_2_lep,Britain,11.7,0.5237568724513603,150297,51633,46949,GRB,exp_tank,tank
uk_challenger_2e,Britain,12.0,0.5354281975561882,81566,30279,26272,GRB,exp_tank,tank
germ_sppz2_luchs_a2,Germany,7.3,0.3868356933507539,335558,54774,86821,GRB,exp_tank,wheeled_vehicle
jp_icv_ifv_prototype,Japan,9.7,0.5312512766044365,187471,52018,45898,GRB,exp_tank,wheeled_vehicle
uk_stormer_air_defence,Britain,10.0,0.45470593958938577,164395,32712,39229,GRB,exp_spaa,tank
us_xm246,Usa,8.3,0.47608870480538495,1321503,366445,403254,GRB,exp_spaa,tank
fr_crotale_ng,France,12.0,0.5278885493811176,166132,30579,27348,GRB,exp_spaa,wheeled_vehicle
f-104c,Usa,9.3,0.4299598141761906,81092,30172,40002,ARB,exp_fighter,air
av_8b_plus,Usa,13.0,0.5066406114896413,115810,29297,28529,ARB,exp_assault,air
a_10c,Usa,11.7,0.4707920423217346,149361,37911,42615,ARB,exp_assault,air
f_111f,Usa,11.7,0.49866739245420605,401270,97106,97625,ARB,exp_assault,air
il_sholef,Israel,7.3,0.4883743793934031,43396,9935,10408,GRB,exp_tank_destroyer,tank
f9f-5,Usa,8.0,0.5162377590526076,43455,11334,10621,ARB,exp_fighter,air
a_7e,Usa,10.7,0.506578947368421,27998,5929,5775,ARB,exp_assault,air
ussr_to_55,Ussr,8.0,0.5222822288582502,120283,41101,37594,GRB,exp_tank,tank
me-262a-2a,Germany,6.7,0.49746753844737085,30148,5402,5457,ARB,exp_assault,air
us_lvt_4_zis_2,Usa,2.3,0.4411764705882353,2260,330,418,GRB,exp_tank_destroyer,tank
germ_mkpz_m47,Germany,7.3,0.3850780920219502,41117,7298,11654,GRB,exp_tank,tank
it_sahariano,Italy,2.7,0.5256203200704742,10735,3580,3231,GRB,exp_tank,tank
us_higgins_78ft_pt658,Usa,2.7,0.48981510498276404,9378,1563,1628,NRB,exp_torpedo_boat,fast_ship
fr_m46_patton,France,7.0,0.5504744154523891,96626,32489,26531,GRB,exp_tank,tank
us_m18_super_hellcat,Usa,6.3,0.5558307599931378,172529,51839,41425,GRB,exp_tank,tank
tandem_mai,Ussr,1.7,0.5278017862287525,8412,1832,1639,ARB,exp_assault,air
fa_18a,Usa,12.3,0.4700188433390266,333079,143924,162285,ARB,exp_fighter,air
it_toldi_II_a,Italy,1.3,0.5041952707856598,2649,661,650,GRB,exp_tank,tank
mig_29_9_12_sniper,Italy,12.7,0.47158659356745336,162318,68298,76528,ARB,exp_fighter,air
ah_1w,Usa,11.0,0.5205997757847534,18349,3715,3421,ARB,exp_helicopter,helicopter
ah_1z,Usa,12.0,0.5141209893048129,128605,18459,17445,ARB,exp_helicopter,helicopter
ussr_bmd_4,Ussr,9.3,0.48052500366622675,119884,32767,35423,GRB,exp_tank,tank
us_ags_teledyne,Usa,11.3,0.5415897697674115,160316,41378,35023,GRB,exp_tank,tank
uk_challenger_2_megatron,Britain,11.7,0.527754005960988,316983,143072,128024,GRB,exp_tank,tank
i-15bis_krasnolutsky,Ussr,1.0,0.497162942505649,45843,9901,10014,ARB,exp_fighter,air
po-2,Ussr,1.0,0.5379426644182125,2227,319,274,ARB,exp_bomber,air
ussr_zut_37,Ussr,2.3,0.4610195379621969,28192,7244,8469,GRB,exp_spaa,tank
mc200_serie3,Germany,2.3,0.5796178343949044,2031,546,396,ARB,exp_fighter,air
mc200_serie7,Germany,2.3,0.5063829787234042,1259,238,232,ARB,exp_fighter,air
fiat_g50_seria2,Germany,1.7,0.5532544378698225,851,187,151,ARB,exp_fighter,air
fiat_g50_seria7as,Germany,1.7,0.5683690280065898,1934,345,262,ARB,exp_fighter,air
mc-202,Germany,3.0,0.5122507122507123,4598,899,856,ARB,exp_fighter,air
b-17e_japan,Japan,4.7,0.5639494833524684,8453,2456,1899,ARB,exp_bomber,air
pby-5a_ussr,Ussr,1.7,0.5410176531671859,4940,521,442,ARB,exp_bomber,air
pe-2-31,Ussr,3.3,0.4984450587422253,29705,5770,5806,ARB,exp_bomber,air
mbr-2,Ussr,1.0,0.6379310344827587,1814,259,147,ARB,exp_bomber,air
ki_61_1a_ko,Japan,3.3,0.5730084517173171,41304,6373,4749,ARB,exp_fighter,air
ki_61_1a_otsu,Japan,3.7,0.6041199879610741,48821,18065,11838,ARB,exp_fighter,air
fw-189a-1,Germany,2.3,0.6119592875318066,1944,481,305,ARB,exp_bomber,air
sb_2m_105,Ussr,2.7,0.4861300591177808,6073,1069,1130,ARB,exp_bomber,air
fiat_cr42,Germany,1.3,0.5326902465166131,3202,497,436,ARB,exp_fighter,air
pe-2-83,Ussr,3.3,0.48626406874016703,38594,4018,4245,ARB,exp_bomber,air
a6m3_mod22_zero,Japan,4.3,0.6090323514511109,22062,8415,5402,ARB,exp_fighter,air
ussr_bm_13n,Ussr,2.7,0.4870895760280523,9461,1528,1609,GRB,exp_tank_destroyer,wheeled_vehicle
fiat_cr42_marcolin_italy,Italy,1.3,0.5461224489795918,6937,2007,1668,ARB,exp_fighter,air
p-43a-1,Usa,2.7,0.5295698924731183,872,197,175,ARB,exp_fighter,air
ussr_type_65_aa,Ussr,5.0,0.5,8108,1200,1200,GRB,exp_spaa,tank
ki_94_2,Japan,6.0,0.5622593068035944,1683,438,341,ARB,exp_fighter,air
ussr_m3c,Ussr,2.7,0.5143540669856459,935,215,203,GRB,exp_tank,tank
