Country,BR,Full Downtier,Downtier,Uptier,Count
Britain,1.0,5.705255110482265e-06,0.0001483366328725389,0.9998459581120169,175277
Britain,1.3,0.00012674209446185793,0.0,0.9998732579055382,205141
Britain,1.7,0.03664249959919483,0.7438142401624597,0.21954326023834547,224548
Britain,2.0,0.5470445471428057,0.12476540775652846,0.32819004510066585,305317
Britain,2.3,0.1254239185549563,0.0,0.8745760814450437,303714
Britain,2.7,0.2092356012053818,0.21605195025678028,0.574712448537838,235610
Britain,3.0,0.10444845699277741,0.4405716513460276,0.454979891661195,487360
Britain,3.3,0.3884171490593343,0.0,0.6115828509406657,552800
Britain,3.7,0.21043797730387998,0.1341672649963168,0.6553947576998033,643458
Britain,4.0,0.09521818973931938,0.27766815747823065,0.62711365278245,906665
Britain,4.3,0.48252941153921347,0.0,0.5174705884607865,521734
Britain,4.7,0.487449633244486,0.16975359300193954,0.34279677375357454,865154
Britain,5.0,0.21891228781473773,0.1835197562589808,0.5975679559262814,670876
Britain,5.3,0.2506963845019833,0.0,0.7493036154980167,491108
Britain,5.7,0.5014219003080502,0.17637988577457217,0.32219821391737763,591462
Britain,6.0,0.14041288565021817,0.35488434194835294,0.5047027724014289,742966
Britain,6.3,0.39244102973220774,0.0,0.6075589702677923,671864
Britain,6.7,0.28081405543840726,0.271738377636021,0.4474475669255718,678627
Britain,7.0,0.23886712045750405,0.2898751967254522,0.4712576828170437,772015
Britain,7.3,0.38908351835206123,0.0,0.6109164816479388,575167
Britain,7.7,0.3328535740241575,0.06595466438954556,0.601191761586297,912263
Britain,8.0,0.04847422369781113,0.23461353472382793,0.716912241578361,1241237
Britain,8.3,0.2776052872658151,0.0,0.7223947127341849,1049011
Britain,8.7,0.5471488044821817,0.340606104139294,0.11224509137852427,1002369
Britain,9.0,0.3250453418130061,0.39642501820812964,0.27852963997886426,1050355
Britain,9.3,0.5207421683010194,0.0,0.4792578316989806,799603
Britain,9.7,0.3513487349559374,0.5622404177049959,0.08641084733906679,320226
Britain,10.0,0.3374922208309277,0.3808456237956347,0.2816621553734376,533476
Britain,10.3,0.3630943764442228,0.0,0.6369056235557772,559557
Britain,10.7,0.05457543346159839,0.24178193099721315,0.7036426355411884,507023
Britain,11.0,0.15737905695039803,0.3001459674095984,0.5424749756400036,778941
Britain,11.3,0.4840927867284251,0.0,0.5159072132715748,482957
Britain,11.7,0.5396685413824087,0.09952380808316114,0.36080765053443015,661078
Britain,12.0,0.10880199237974282,0.30323596338043074,0.5879620442398265,604704
Britain,12.3,0.6104351357739465,0.0,0.3895648642260536,300389
Britain,12.7,0.6708668149844041,0.32913318501559585,0.0,355543
Britain,13.0,1.0,0.0,0.0,117021
China,1.0,5.645029269476762e-06,0.00021451111224011696,0.9997798438584904,177147
China,1.3,0.00018278809568475789,0.0,0.9998172119043153,207891
China,1.7,0.03796659669617596,0.7702290773021813,0.1918043260016428,219140
China,2.0,0.5821841736742986,0.1347431378094798,0.2830726885162216,289922
China,2.3,0.19734781510482446,0.0,0.8026521848951755,197950
China,2.7,0.3155792476912681,0.3006006456941212,0.3838201066146107,133190
China,3.0,0.17146026226306818,0.5089719321987444,0.3195678055381875,233506
China,3.3,0.43427961719900465,0.0,0.5657203828009953,273667
China,3.7,0.1448158251819369,0.06657091785715298,0.7886132569609101,353007
China,4.0,0.04416230681339828,0.24678084972036804,0.7090568434662337,532128
China,4.3,0.5256860351073838,0.0,0.47431396489261624,249805
China,4.7,0.5337195837391391,0.18965444520280064,0.27662597105806025,521596
