Country,BR,Full Downtier,Downtier,Total Downtier,Uptier,Full Uptier,Total Uptier,Count
Britain,1.0,5.280797611671267e-05,0.0003133273249591618,0.0003661353010758745,0.10842533656283446,0.8912085281360896,0.9996338646989241,284048
Britain,1.3,0.00024036773562789994,0.08317803957155126,0.08341840730717916,0.6836868629579815,0.23289472973483927,0.9165815926928208,370266
Britain,1.7,0.07005356716366987,0.5758094783172404,0.6458630454809102,0.1961468035984396,0.15799015092065008,0.35413695451908966,439635
Britain,2.0,0.5600637175189991,0.19078308388367127,0.7508468014026703,0.15366984148054735,0.09548335711678227,0.24915319859732962,451995
Britain,2.3,0.25471048846118627,0.2051613779821771,0.45987186644336336,0.12747782474235939,0.4126503088142772,0.5401281335566366,338553
Britain,2.7,0.23236472878849718,0.14438073317766076,0.37674546196615794,0.4673656320462468,0.15588890598759525,0.6232545380338421,298918
Britain,3.0,0.12966006218924156,0.41971429000615884,0.5493743521954004,0.13999489267098286,0.31063075513361676,0.4506256478045996,332855
Britain,3.3,0.39007119921820466,0.13010749685885803,0.5201786960770627,0.2886918888733771,0.19112941504956024,0.4798213039229373,358150
Britain,3.7,0.13211157953827005,0.29313869192582154,0.42525027146409156,0.19407343564387314,0.38067629289203525,0.5747497285359084,352717
Britain,4.0,0.26429809358752165,0.17497942260599275,0.4392775161935144,0.34322326344687965,0.21749922035960595,0.5607224838064856,391206
Britain,4.3,0.19900805591169024,0.3903555823019964,0.5893636382136866,0.2473667838277064,0.16326957795860697,0.41063636178631335,343971
Britain,4.7,0.3547038125026417,0.2247743987488905,0.5794782112515322,0.148357918762416,0.2721638699860518,0.4205217887484678,378544
Britain,5.0,0.3037010068994564,0.20045187334696807,0.5041528802464245,0.36773067491888767,0.12811644483468787,0.49584711975357554,280167
Britain,5.3,0.23422055769182648,0.4296796149707641,0.6639001726625906,0.14969930017433083,0.18640052716307856,0.3360998273374094,239774
Britain,5.7,0.4312786487221885,0.15025639952278294,0.5815350482449715,0.1870942085103711,0.23137074324465748,0.41846495175502857,238885
Britain,6.0,0.20809684208085247,0.2591151796947016,0.4672120217755541,0.32043574298352917,0.2123522352409167,0.5327879782244459,172487
Britain,6.3,0.2532194920199657,0.31314481906823116,0.5663643110881968,0.20752055205860523,0.22611513685319795,0.43363568891180315,176503
Britain,6.7,0.29723102074180036,0.19697450431022892,0.4942055250520293,0.21462412545105483,0.2911703494969159,0.5057944749479707,185953
Britain,7.0,0.20426053981708678,0.22256301583760874,0.42682355565469554,0.30194066473343745,0.27123577961186707,0.5731764443453045,179320
Britain,7.3,0.21522482392657225,0.29198528856628236,0.5072101124928546,0.262292783416202,0.2304971040909434,0.49278988750714536,185434
Britain,7.7,0.2679136049877533,0.24066899230559885,0.5085825972933522,0.21149459412652466,0.2799228085801232,0.49141740270664785,202095
Britain,8.0,0.2176703304571981,0.1912838781282446,0.40895420858544274,0.2531729977444417,0.33787279367011563,0.5910457914145573,223448
Britain,8.3,0.21334730957372466,0.2823749625636418,0.49572227213736647,0.37684436458021364,0.1274333632824199,0.5042777278626336,200340
Britain,8.7,0.29415649243952663,0.39256744108654507,0.6867239335260718,0.13275026518854385,0.18052580128538448,0.31327606647392836,192316
Britain,9.0,0.49321878878944275,0.16678643757757888,0.6600052263670216,0.2268112628209316,0.11318351081204678,0.33999477363297836,153070
Britain,9.3,0.2627678626567035,0.3573354741760843,0.6201033368327877,0.17831779163836226,0.2015788715288499,0.37989666316721216,97158
Britain,9.7,0.432472159246618,0.21581255138394081,0.6482847106305588,0.2439647225890032,0.10775056678043798,0.3517152893694412,80278
Britain,10.0,0.25838155461432916,0.29208673865059953,0.5504682932649287,0.12900435482908787,0.3205273519059834,0.44953170673507126,67052
Britain,10.3,0.326547285580899,0.14422435640923037,0.4707716419901294,0.35834333733493395,0.17088502067493663,0.5292283580098706,59976
Britain,10.7,0.10121694359934472,0.2514860753568921,0.3527030189562368,0.11992745143926983,0.5273695296044933,0.6472969810437632,85460
Britain,11.0,0.13189807541241164,0.06289891005498821,0.19479698546739985,0.27659195797329145,0.5286110565593087,0.8052030145326001,162944
Britain,11.3,0.07245567400955802,0.3186169159856347,0.3910725899951927,0.6089274100048073,0.0,0.6089274100048073,141452
Britain,11.7,0.34350586495735613,0.6564941350426439,1.0,0.0,0.0,0.0,131203
Britain,12.0,1.0,0.0,1.0,0.0,0.0,0.0,86134
China,1.0,3.230443701442393e-06,0.0002810486020254882,0.0002842790457269306,0.10828770331605046,0.8914280176382227,0.9997157209542731,309555
China,1.3,0.00022236762736297554,0.08567799122798049,0.08590035885534347,0.705304106900042,0.2087955342446146,0.9140996411446566,391244
China,1.7,0.07518414182284704,0.6189183854732063,0.6941025272960534,0.1832222351811812,0.1226752375227654,0.3058974727039466,445852
China,2.0,0.5873603415870773,0.17387991238955572,0.761240253976633,0.11642014699653262,0.12233959902683442,0.23875974602336703,469807
China,2.3,0.26054424372320883,0.17444567768932434,0.4349899214125332,0.18331547254541744,0.3816946060420494,0.5650100785874669,313536
China,2.7,0.22969125329660178,0.24137004249886615,0.47106129579546796,0.5025742890258856,0.02636441517864642,0.528938704204532,238124
China,3.0,0.2673799776702642,0.5567314849274284,0.8241114625976926,0.0292054335690361,0.1466831038332713,0.1758885374023074,214960
China,3.3,0.4939288131675829,0.025910884387433344,0.5198396975550162,0.13013636438677298,0.35002393805821075,0.48016030244498376,242292
China,3.7,0.024321832311852535,0.12215541488133519,0.14647724719318772,0.32855781374698784,0.5249649390598244,0.8535227528068123,258122
