Country,1.0,1.3,1.7,2.0,2.3,2.7,3.0,3.3,3.7,4.0,4.3,4.7,5.0,5.3,5.7,6.0,6.3,6.7,7.0,7.3,7.7,8.0,8.3,8.7,9.0
Britain,87,72,863,2774,2964,2294,2906,11110,3734,4644,8240,7343,3784,12543,11141,10198,4544,4255,3729,2166,7116,3198,1380,3944,27
France,82,113,934,3616,1708,1137,3066,13479,11474,15037,11811,6379,3786,8614,5564,5850,1940,2067,2699,2385,5853,2081,1384,1825,59
Germany,155,201,1759,6591,2639,4349,3906,17567,14308,14995,29121,27228,17742,47114,25050,28589,10596,16507,17599,9310,33884,11814,9503,16605,422
Italy,25,52,523,2006,1450,907,808,3794,2526,5024,8183,5561,3372,6914,3931,3552,2519,2212,2341,2410,2806,955,1053,1375,136
Japan,99,97,1871,5324,3295,2554,1423,9993,7750,12993,21373,11108,10359,29225,27509,30319,8995,9062,11886,7768,24029,17135,6044,23147,644
Usa,70,78,1872,6225,5249,4779,3883,22494,16284,25306,34206,15334,9450,44239,47215,55885,23471,22190,19927,18870,39293,9673,5040,19913,520
Ussr,136,203,1846,7877,4881,4116,3987,17052,9816,13047,24591,13228,12956,35857,20857,29888,10581,12476,11769,10581,25509,7567,4119,14121,556
