Country,BR,Full Downtier,Downtier,Uptier,Full Uptier,Count
Britain,1.0,0.02291886195995785,0.018967334035827187,0.2273445732349842,0.7307692307692307,3796
Britain,1.3,0.012392426850258176,0.0,0.4774526678141136,0.5101549053356282,5810
Britain,1.7,0.1455066599224414,0.4677120215815208,0.0,0.38678131849603775,5931
Britain,2.0,0.2536112634850978,0.27098189797037847,0.20972755531175719,0.2656792832327665,10938
Britain,2.3,0.1745583038869258,0.0,0.17114252061248528,0.6542991755005889,16980
Britain,2.7,0.25677188269532125,0.32527423326617416,0.0,0.4179538840385046,8934
Britain,3.0,0.12976690184870948,0.4961150308118246,0.16674109136375814,0.20737697597570778,22394
Britain,3.3,0.4630324247728599,0.0,0.1935483870967742,0.3434191881303659,23994
Britain,3.7,0.23751669741110618,0.2954010559124738,0.0,0.46708224667642007,15721
Britain,4.0,0.1934113531298155,0.3431760443130232,0.30581816667360795,0.15759443588355337,24011
Britain,4.3,0.33540928888346155,0.0,0.1540277608173566,0.5105629502991819,24567
Britain,4.7,0.3297557032513023,0.1699299443147117,0.0,0.500314352433986,22268
Britain,5.0,0.10046195507885096,0.3330058939096267,0.29578399617692347,0.27074815483459885,37666
Britain,5.3,0.45970313358988457,0.0,0.3737584753527579,0.16653839105735752,27285
Britain,5.7,0.435297335312964,0.39845276236617955,0.0,0.16624990232085646,25594
Britain,6.0,0.44873712927923964,0.1999471970430344,0.1872304849071548,0.16408518877057116,22726
Britain,6.3,0.4352907366605997,0.0,0.35721812434141204,0.20749113899798832,10439
Britain,6.7,0.2817880794701987,0.24695364238410597,0.0,0.4712582781456954,15100
Britain,7.0,0.23005737553211178,0.13362946511197482,0.439015361836017,0.19729779751989635,16209
Britain,7.3,0.3211743772241993,0.0,0.47419928825622776,0.20462633451957296,6744
Britain,7.7,0.49908823116846684,0.22429513255716088,0.0,0.2766166362743723,14258
Britain,8.0,0.37407883963036614,0.16142238858346006,0.4613405076617148,0.003158264124459001,8549
Britain,8.3,0.9808102345415778,0.0,0.019189765458422176,0.0,1407
Britain,8.7,0.9932007051120625,0.006799294887937547,0.0,0.0,3971
Britain,9.0,1.0,0.0,0.0,0.0,27
France,1.0,0.017281348788198102,0.0238145416227608,0.19683877766069546,0.7620653319283456,4745
France,1.3,0.02078352032370793,0.0,0.6650726503586537,0.3141438293176384,5437
France,1.7,0.16423421839282573,0.6358361174608756,0.0,0.19992966414629856,5687
France,2.0,0.37955284979531856,0.1792799412196914,0.1193450194184948,0.3218221895664952,9527
France,2.3,0.09357365912452748,0.0,0.1679723881005862,0.7384539527748863,18253
France,2.7,0.07252663137079798,0.19557313261465842,0.0,0.7319002360145436,15677
France,3.0,0.07120958751393534,0.31305741360089184,0.26649015235971757,0.34924284652545523,43056
France,3.3,0.3342425670146552,0.0,0.37287673271009497,0.2928807002752498,40327
France,3.7,0.34885983581635754,0.457190635451505,0.0,0.19394952873213742,32890
France,4.0,0.40626266446924053,0.3191040985599654,0.17234485180882392,0.10228838516197011,37013
France,4.3,0.4878361075544174,0.0,0.1563752013547561,0.3557886910908265,24211
France,4.7,0.40555661516943226,0.24070188823192828,0.0,0.35374149659863946,15729
France,5.0,0.15898211136306376,0.36171999664063154,0.23364407491391617,0.2456538170823885,23814
France,5.3,0.5251158254084369,0.0,0.3566203365032919,0.11826383808827115,16404
France,5.7,0.4127290260366442,0.4339440694310511,0.0,0.15332690453230471,13481
France,6.0,0.46591271105447596,0.15450780503345013,0.16462249123924816,0.21495699267282575,12556
France,6.3,0.27619589977220954,0.0,0.384253986332574,0.3395501138952164,7024
France,6.7,0.1946510970901215,0.25416705904510783,0.0,0.5511818438647706,10619
France,7.0,0.20732831464126594,0.1832078660316485,0.449608234751882,0.15985558457520357,13018
France,7.3,0.4076923076923077,0.0,0.35572649572649573,0.23658119658119658,5850
France,7.7,0.5997540731632339,0.21323906137923967,0.0,0.18700686545752637,9759
France,8.0,0.38904468124883157,0.2587399513927837,0.34118526827444384,0.011030099083940923,5349
France,8.3,0.9591129591129591,0.0,0.040887040887040885,0.0,1443
France,8.7,0.9686836518046709,0.03131634819532909,0.0,0.0,1884
France,9.0,1.0,0.0,0.0,0.0,59
Germany,1.0,0.017803813461980244,0.02308752584424535,0.20204456696531128,0.7570640937284632,8706
Germany,1.3,0.021312692185346198,0.0,0.6988654437493373,0.2798218640653165,9431
Germany,1.7,0.1385148436884794,0.5190172454523978,0.0,0.34246791085912276,12699
Germany,2.0,0.3769516728624535,0.15092936802973977,0.24872748069774092,0.22339147841006576,17485
Germany,2.3,0.10944757796947578,0.0,0.16199402786994027,0.728558394160584,24112
Germany,2.7,0.19274919115365866,0.17311527722377343,0.0,0.634135531622568,22563
Germany,3.0,0.07692610682212069,0.34597053726169846,0.2817866708681267,0.2953166850480542,50776
Germany,3.3,0.28479483812395634,0.0,0.2430977741030754,0.47210738777296823,61683
Germany,3.7,0.25310006898869647,0.2652526932125736,0.0,0.4816472377987299,56531
Germany,4.0,0.16832049929281817,0.32688637945356175,0.3056372493994567,0.1991558718541634,89086
Germany,4.3,0.3098736924992285,0.0,0.18879087436287603,0.5013354331378954,93977
Germany,4.7,0.38886032562125106,0.2533847472150814,0.0,0.3577549271636675,70020
Germany,5.0,0.1497278366175788,0.39760327439976373,0.21140132495041986,0.24126756403223765,118495
Germany,5.3,0.545939118645639,0.0,0.33127846209110184,0.12278241926325914,86299
Germany,5.7,0.3571123086134633,0.4075642231916289,0.0,0.23532346819490776,70146
Germany,6.0,0.3900751797628631,0.1445743679305781,0.2252254710673889,0.2401249812391699,73291
Germany,6.3,0.28252233035595253,0.0,0.4692441007865618,0.24823356885748568,37505
Germany,6.7,0.24278570377996764,0.25884688924841887,0.0,0.49836740697161347,67990
Germany,7.0,0.2423870976627598,0.12822455135179803,0.46667676670293495,0.1627115842825072,72607
Germany,7.3,0.3039801482352173,0.0,0.3857380742482124,0.3102817775165703,30627
Germany,7.7,0.5438582411761873,0.18962168755918657,0.0,0.2665200712646261,62303
Germany,8.0,0.30810557062382643,0.24783538493636553,0.4330534112247027,0.011005633215105361,38344
Germany,8.3,0.9574811083123426,0.0,0.042518891687657434,0.0,9925
Germany,8.7,0.9752158336759265,0.02478416632407353,0.0,0.0,17027
Germany,9.0,1.0,0.0,0.0,0.0,422
Italy,1.0,0.009593246354566385,0.019953952417498082,0.20069071373752878,0.7697620874904068,2606
Italy,1.3,0.014823261117445839,0.0,0.571835803876853,0.41334093500570124,3508
Italy,1.7,0.1522118742724098,0.5838183934807916,0.0,0.2639697322467986,3436
Italy,2.0,0.3879327016051054,0.2804099787275189,0.17540127634886868,0.15625604331850707,5171
Italy,2.3,0.23959021810971579,0.0,0.1335095836087244,0.6269001982815599,6052
Italy,2.7,0.21386465456260315,0.19052110351332233,0.0,0.5956142419240745,4241
Italy,3.0,0.06649111257406189,0.3122119815668203,0.20786701777485186,0.41342988808426595,12152
Italy,3.3,0.22316334333274512,0.0,0.29551202870419385,0.48132462796306097,17001
Italy,3.7,0.19266264968347188,0.3831896880482038,0.0,0.4241476622683243,13111
Italy,4.0,0.22691960252935864,0.3696025293586269,0.2511743450767841,0.15230352303523034,22140
Italy,4.3,0.4430667605176241,0.0,0.18257620878228384,0.374357030700092,18469
Italy,4.7,0.4322916666666667,0.2621268656716418,0.0,0.30558146766169153,12864
Italy,5.0,0.18976869829478304,0.3891046204063256,0.22122798131577467,0.19989869998311666,17769
Italy,5.3,0.5324605313823643,0.0,0.27354639969195227,0.1939930689256835,12985
Italy,5.7,0.40546673543063433,0.3663744198040227,0.0,0.22815884476534296,9695
Italy,6.0,0.33433734939759036,0.2371046686746988,0.2082078313253012,0.22035015060240964,10624
Italy,6.3,0.3464924346629986,0.0,0.3220082530949106,0.3314993122420908,7270
Italy,6.7,0.3005843185215383,0.31811387416768583,0.0,0.3813018073107759,7359
Italy,7.0,0.2750234962406015,0.2831296992481203,0.3296522556390977,0.11219454887218046,8512
Italy,7.3,0.5454956994114984,0.0,0.2161611588954278,0.2383431416930738,4418
Italy,7.7,0.5463395638629284,0.1859423676012461,0.0,0.2677180685358255,5136
Italy,8.0,0.27138391588519467,0.29923273657289,0.39073600454674623,0.03864734299516908,3519
Italy,8.3,0.8856181665264928,0.0,0.11438183347350715,0.0,1189
Italy,8.7,0.9099933818663137,0.0900066181336863,0.0,0.0,1511
Italy,9.0,1.0,0.0,0.0,0.0,136
Japan,1.0,0.013394669192260858,0.013124069814639426,0.2531457177648491,0.7203355432282506,7391
Japan,1.3,0.011128958237723726,0.0,0.6108306562643414,0.37804038549793484,8716
Japan,1.7,0.19191711970458508,0.546107293055698,0.0,0.26197558723971687,9749
Japan,2.0,0.4226738647189584,0.2615909812638933,0.20276278183550334,0.11297237218164496,12596
