Country,BR,Weighted,Count
Britain,1.0,-0.0431199225708555,84056
Britain,1.3,-0.0852698244176232,93943
Britain,1.7,0.02594991849667676,112884
Britain,2.0,0.093092427812242,132388
Britain,2.3,-0.1571131643525289,108598
Britain,2.7,-0.32557181678644764,173042
Britain,3.0,-0.035157721934458964,183022
Britain,3.3,0.05465613142938995,221075
Britain,3.7,-0.13502468553391095,303517
Britain,4.0,-0.22222124892201037,347828
Britain,4.3,-0.031803432854523896,407574
Britain,4.7,-0.017112667393403388,506589
Britain,5.0,0.06002724300441026,405636
Britain,5.3,0.22196075036869273,328553
Britain,5.7,0.21459019745804875,297331
Britain,6.0,-0.05868485578160263,182926
Britain,6.3,0.23274655926244384,153419
Britain,6.7,0.3033723056968531,134691
Britain,7.0,-0.002686587290747848,117800
Britain,7.3,-0.17529342818613178,89998
Britain,7.7,0.03215544234834327,112034
Britain,8.0,-0.21295792057015606,188938
Britain,8.3,-0.2566937854893278,244965
Britain,8.7,-0.045170626636277834,298660
Britain,9.0,0.019693605972459456,352498
Britain,9.3,-0.0075970234863715295,357242
Britain,9.7,0.01166038539731179,286944
Britain,10.0,0.04763967767415648,218983
Britain,10.3,0.03996020332529198,175005
Britain,10.7,-0.1026371229351957,103427
Britain,11.0,-0.047531111774470204,128262
Britain,11.3,-0.15499705268480218,201392
Britain,11.7,-0.27356455279611064,413186
Britain,12.0,-0.42067038911759347,826307
Britain,12.3,-0.07013017527873254,833453
Britain,12.7,0.40386933619167464,781541
Britain,13.0,0.12864866837185426,806666
Britain,13.3,-0.10050306147643553,360640
Britain,13.7,0.4178686458683863,302326
Britain,14.0,1.1220597959569245,274678
China,1.0,0.18686784278267127,48913
China,1.3,-0.04528488746271276,51297
China,1.7,0.022608892005440282,61441
China,2.0,-0.003235386853167074,80528
China,2.3,0.05207141005683293,90112
China,2.7,-0.09824424344297461,143645
China,3.0,0.02067599181441054,143733
China,3.3,0.007879155583462624,193901
China,3.7,-0.35765390088245175,248901
China,4.0,-0.0744976344425128,222365
China,4.3,0.13568450569275886,246836
China,4.7,0.07924196801544617,235799
China,5.0,-0.05198612375566592,169689
China,5.3,0.00235271426822545,164018
China,5.7,0.009426684865647203,136718
China,6.0,0.04170761116738232,88250
China,6.3,0.04286487929200016,44081
China,6.7,0.029077036074142325,25612
China,7.0,-0.039100574208111104,49435
China,7.3,-0.07583511714203676,56732
China,7.7,-0.11956924269431918,80953
China,8.0,-0.026036374619175597,125357
China,8.3,-0.20595093788829552,159162
China,8.7,-0.0613809096795252,176282
China,9.0,0.003569510388856803,213583
China,9.3,-0.10830513471870411,280327
China,9.7,-0.12656923160345385,306619
China,10.0,-0.07165111572583908,406218
China,10.3,-0.10677761027903326,1042802
China,10.7,-0.19484451350810755,1474918
China,11.0,0.05920948452476909,1471142
China,11.3,0.36702349392802486,1388530
China,11.7,0.3188801811767205,723293
China,12.0,-0.0014542147550713777,273524
China,12.3,-0.05780418980984263,229344
China,12.7,-0.07653679389573205,436882
China,13.0,-0.20518408200447572,1425371
China,13.3,-0.06822440770037282,1326632
China,13.7,0.15647574353450586,1283232
China,14.0,0.2599933463341275,1021850
France,1.0,0.21683584335656897,57460
France,1.3,-0.2453074627689041,71508
France,1.7,-0.010293129744149936,97754
France,2.0,0.038816978780285026,116455
France,2.3,-0.1291856043296093,125698
France,2.7,-0.13632034763663475,156771
France,3.0,0.04376106456970182,149304
France,3.3,0.11457768729147425,176675
France,3.7,-0.2833963062590288,196956
France,4.0,-0.25106765302789336,222485
France,4.3,0.15214299778743706,235051
France,4.7,0.1624616909538427,233714
France,5.0,0.11900876039520475,170653
France,5.3,0.0885411298542973,123558
France,5.7,0.07188237130323849,124827
France,6.0,-0.16879154558769977,116045
France,6.3,0.1397177584458604,98426
France,6.7,0.44131469537735024,80599
France,7.0,0.0256675428125836,83697
France,7.3,-0.4159587570183891,65109
France,7.7,-0.22159596144314334,102144
France,8.0,-0.17007534882932748,174700
France,8.3,-0.20563274106190438,197861
France,8.7,0.031901933659789376,212341
France,9.0,0.001577904904402264,228734
France,9.3,-0.05363762846610341,253469
France,9.7,-0.010883908632296775,233606
France,10.0,0.138713814951737,234508
France,10.3,0.06099317309727435,249825
France,10.7,-0.06143599275536392,182436
France,11.0,-0.0872489335240739,359638
France,11.3,-0.08344741049009097,530063
France,11.7,-0.11229412448165416,1183411
France,12.0,-0.4749835939121649,2398330
France,12.3,-0.05072087503515889,2215603
France,12.7,0.4506015816523255,2091956
France,13.0,0.11478068672900268,2154564
France,13.3,-0.1979928848733707,904012
France,13.7,0.604669236421844,870509
France,14.0,1.6193273288952703,786385
Germany,1.0,-0.012236046264232562,324937
Germany,1.3,-0.01552296180888919,389245
Germany,1.7,-0.0004434364197355588,531739
Germany,2.0,-0.024118087990017852,650787
Germany,2.3,0.0618473769459236,626939
Germany,2.7,0.04758371781325622,778503
Germany,3.0,-0.017873138870213894,716590
Germany,3.3,-0.04429810012081227,681598
Germany,3.7,0.01897668258523223,681414
Germany,4.0,0.04190918112861887,830389
Germany,4.3,0.008785681599753948,897926
Germany,4.7,0.0033198859453842772,1113584
Germany,5.0,-0.008505622050750943,961029
Germany,5.3,-0.10873922695351607,688383
Germany,5.7,-0.0742500766145383,642686
Germany,6.0,0.04254856977038574,483948
Germany,6.3,-0.037534328491318374,370262
Germany,6.7,-0.011947550272834596,311191
Germany,7.0,-0.01830147697473208,345449
Germany,7.3,0.21034978604744875,222203
Germany,7.7,-0.00792675038591984,274835
Germany,8.0,0.015565791165440613,439750
Germany,8.3,0.30649356901013863,478406
Germany,8.7,-0.07909354959535504,558339
Germany,9.0,0.1970112212613867,620034
Germany,9.3,-0.09704150128960971,725272
Germany,9.7,-0.04936728853517873,640631
Germany,10.0,0.04867715835676374,665048
Germany,10.3,-0.08213698513366109,1149410
Germany,10.7,-0.04836429484690378,1264193
Germany,11.0,-0.023189711888947737,1666511
Germany,11.3,0.04179478321922625,1634392
Germany,11.7,0.028550273132269294,1287488
Germany,12.0,-0.0030690041105448404,1326831
Germany,12.3,-0.06218067233712428,935345
Germany,12.7,0.02666744830630419,1110842
Germany,13.0,-0.07077948550530157,1896954
Germany,13.3,-0.037818678303186165,1439534
Germany,13.7,0.11925623077437678,1337794
Germany,14.0,0.2866498211990587,1048286
Israel,1.0,0.0,0
Israel,1.3,0.0,0
Israel,1.7,0.0,0
Israel,2.0,0.0,0
Israel,2.3,-0.2866498211990587,8025
Israel,2.7,-0.20617246270750936,14292
Israel,3.0,-0.07253044958847674,20310
Israel,3.3,-0.10414545691630744,39301
Israel,3.7,-0.12303205911128083,46070
Israel,4.0,-0.14440367186632455,59142
Israel,4.3,0.11478890551823137,60723
Israel,4.7,0.11446179378754755,54269
Israel,5.0,0.1677821782335768,45857
Israel,5.3,0.05936375153602009,34410
Israel,5.7,0.06850774034747398,34527
Israel,6.0,0.1637723700767939,22208
Israel,6.3,0.42727027102530735,15836
Israel,6.7,0.22931177468613928,11307
Israel,7.0,-0.5285202773448429,23309
Israel,7.3,-0.32750723165117895,34148
Israel,7.7,-0.06515216490630771,54927
Israel,8.0,-0.0892381820852491,87641
Israel,8.3,-0.13688416503909814,105143
Israel,8.7,-0.013049079782432185,117180
Israel,9.0,0.06852611250118364,118838
Israel,9.3,-0.08089465063513454,131347
Israel,9.7,0.05653160562682734,98372
Israel,10.0,0.27906251653725994,86023
Israel,10.3,-0.04097332899742303,115595
Israel,10.7,-0.38631050938305483,111268
Israel,11.0,0.030640558347165437,163433
Israel,11.3,0.031510481335040974,170151
Israel,11.7,0.024859198186976402,153923
Israel,12.0,-0.003894247086017547,217128
Israel,12.3,-0.14963129500538164,187900
Israel,12.7,-0.007827545177344202,257368
Israel,13.0,-0.08654038224587594,429640
Israel,13.3,-0.03653722101722046,322176
Israel,13.7,0.05279605180635339,294994
Israel,14.0,-0.05999831160530156,208063
Italy,1.0,0.25715684182271953,41853
Italy,1.3,-0.09842669210146986,51151
Italy,1.7,0.010192760278504262,64299
Italy,2.0,0.1437185654480371,75594
Italy,2.3,-0.05652234648635161,67617
Italy,2.7,-0.10196931344208156,78655
Italy,3.0,0.016584730177710803,75547
Italy,3.3,0.09958518330398788,79951
Italy,3.7,-0.08218526028334794,84056
Italy,4.0,-0.09487452296956086,96097
Italy,4.3,0.011360481234247015,102440
Italy,4.7,-0.0004487722903171677,126731
Italy,5.0,0.01370736747185691,107060
Italy,5.3,-0.0007853844557489421,81611
Italy,5.7,0.3469996441978843,70720
Italy,6.0,0.11079869620120486,35818
Italy,6.3,0.05503635672998132,21442
Italy,6.7,0.1285913496410881,15609
Italy,7.0,0.015542538880311086,17132
Italy,7.3,-0.13827125091921896,14816
Italy,7.7,-0.17136553123073028,26800
Italy,8.0,-0.2787134659487882,59908
Italy,8.3,-0.1975122009430297,85671
Italy,8.7,-0.015461242524473767,96259
Italy,9.0,0.2571766495485739,98165
Italy,9.3,0.09909906131938553,85377
Italy,9.7,0.02521582558518761,54815
Italy,10.0,0.044085629459867846,46025
Italy,10.3,-0.15642620963172,166809
Italy,10.7,-0.16837423513676306,265454
Italy,11.0,0.04927240918354884,408034
Italy,11.3,-0.090971372571641,477964
Italy,11.7,-0.0010022488143990064,395715
Italy,12.0,-0.017324812616422665,386424
Italy,12.3,0.07020021181845855,263509
Italy,12.7,-0.03555685232345892,251576
Italy,13.0,-0.029503989049628084,358074
Italy,13.3,-0.015020606254501434,247305
Italy,13.7,-0.1735526742344401,225387
Italy,14.0,-0.34983163617185287,159471
Japan,1.0,0.21234183271296103,53990
Japan,1.3,-0.08096958973324303,58985
Japan,1.7,0.04032144477209886,75153
Japan,2.0,0.03490677970925793,96256
