Country,BR,Full Downtier,Downtier,Total Downtier,Uptier,Full Uptier,Total Uptier,Count
Britain,1.0,0.003255882788219624,0.003921858813082729,0.007177741601302353,0.2000887968033151,0.7927334615953826,0.9928222583986976,13514
Britain,1.3,0.0027919717642100827,0.14244323868724648,0.14523521045145657,0.5643470473581625,0.29041774219038086,0.8547647895485434,18983
Britain,1.7,0.10615161151022652,0.42056294900482866,0.5267145605150552,0.21642523456208534,0.2568602049228595,0.47328543948494484,25473
Britain,2.0,0.3922595291274578,0.20186005638753615,0.594119585514994,0.23957379810332832,0.1663066163816777,0.405880414485006,27311
Britain,2.3,0.16144430127679513,0.19160712193979149,0.3530514232165866,0.13300925383624224,0.5139393229471712,0.6469485767834133,34148
Britain,2.7,0.18591237142694778,0.12905608910609764,0.3149684605330454,0.4986645450929136,0.18636699437404103,0.6850315394669546,35194
Britain,3.0,0.1187792567797275,0.45895551661915845,0.577734773398886,0.17152645205157038,0.2507387745495437,0.4222652266011141,38239
Britain,3.3,0.2850228992756683,0.1065222334102056,0.39154513268587393,0.15571507454445058,0.4527397927696755,0.6084548673141261,61574
Britain,3.7,0.10417394618976525,0.15228232902385566,0.2564562752136209,0.44275912455131666,0.3007846002350624,0.7435437247863791,62962
Britain,4.0,0.14578518428415035,0.42386875076024816,0.5696539350443985,0.28795158739812676,0.14239447755747475,0.4303460649556015,65768
Britain,4.3,0.3370613982056925,0.22897975963049838,0.5660411578361908,0.11323241360965347,0.3207264285541557,0.43395884216380914,82706
Britain,4.7,0.23891103597920976,0.11814351314527931,0.3570545491244891,0.3346369278901953,0.30830852298531564,0.6429454508755109,79268
Britain,5.0,0.1224983649444081,0.3469718770438195,0.4694702419882276,0.319672988881622,0.21085676913015042,0.5305297580117724,76450
Britain,5.3,0.36020205860785964,0.33186225251894297,0.6920643111268026,0.21889682518128242,0.08903886369191494,0.30793568887319733,73642
Britain,5.7,0.42755423372988105,0.2820153953813856,0.7095696291112666,0.11471308607417775,0.17571728481455565,0.2904303708887334,57160
Britain,6.0,0.4096361048993698,0.16662431388493595,0.5762604187843058,0.25523480382191505,0.16850477739377923,0.42373958121569427,39352
Britain,6.3,0.2469214837130484,0.37823385426473355,0.6251553379777819,0.24970815289022782,0.1251365091319902,0.374844662022218,26555
Britain,6.7,0.341029471682738,0.2251460002716284,0.5661754719543663,0.11282765177237539,0.3209968762732582,0.43382452804563354,29452
Britain,7.0,0.2882667478155023,0.1444594183367387,0.432726166152241,0.4109898708864061,0.15628396296135286,0.567273833847759,23003
Britain,7.3,0.18936630955094597,0.5387508547982676,0.7281171643492135,0.20486665147025301,0.0670161841805334,0.2718828356507864,17548
Britain,7.7,0.4994452955782133,0.18992022822124782,0.6893655237994611,0.06212689524010777,0.24850758096043107,0.31063447620053886,18929
Britain,8.0,0.37695292020551535,0.12330921673482227,0.5002621369403376,0.4932368669392891,0.006500996120373283,0.4997378630596624,9537
Britain,8.3,0.1979131605520027,0.7916526422080108,0.9895658027600135,0.010434197239986537,0.0,0.010434197239986537,5942
Britain,8.7,0.9869911875786823,0.013008812421317666,1.0,0.0,0.0,0.0,4766
Britain,9.0,1.0,0.0,1.0,0.0,0.0,0.0,62
France,1.0,0.0031893302406494637,0.006088721368512612,0.009278051609162076,0.19483908379240358,0.7958828645984344,0.9907219483908379,10347
